kepid,kepler_name,pl_name
10591855,Kepler-1367 b,Kepler-1367 b
6294819,Kepler-1368 b,Kepler-1368 b
5688910,Kepler-1369 b,Kepler-1369 b
7419318,Kepler-137 b,Kepler-137 b
7419318,Kepler-137 c,Kepler-137 c
6345732,Kepler-1370 b,Kepler-1370 b
6345732,Kepler-1370 c,Kepler-1370 c
10397751,Kepler-1371 b,Kepler-1371 b
10397751,Kepler-1371 c,Kepler-1371 c
8681833,Kepler-1372 b,Kepler-1372 b
4138951,Kepler-1373 b,Kepler-1373 b
8884274,Kepler-1374 b,Kepler-1374 b
7767162,Kepler-1375 b,Kepler-1375 b
7019524,Kepler-1376 b,Kepler-1376 b
9825174,Kepler-1377 b,Kepler-1377 b
5209845,Kepler-1378 b,Kepler-1378 b
6129524,Kepler-1379 b,Kepler-1379 b
7603200,Kepler-138 b,Kepler-138 b
7603200,Kepler-138 c,Kepler-138 c
7603200,Kepler-138 d,Kepler-138 d
7603200,Kepler-138 e,Kepler-138 e
6937402,Kepler-1380 b,Kepler-1380 b
11129258,Kepler-1381 b,Kepler-1381 b
3969687,Kepler-1382 b,Kepler-1382 b
6716545,Kepler-1383 b,Kepler-1383 b
4483138,Kepler-1384 b,Kepler-1384 b
9693006,Kepler-1385 b,Kepler-1385 b
7090524,Kepler-1386 b,Kepler-1386 b
7609553,Kepler-1387 b,Kepler-1387 b
10122538,Kepler-1388 b,Kepler-1388 b
10122538,Kepler-1388 c,Kepler-1388 c
10122538,Kepler-1388 d,Kepler-1388 d
10122538,Kepler-1388 e,Kepler-1388 e
8611257,Kepler-1389 b,Kepler-1389 b
8008067,Kepler-139 b,Kepler-139 b
8008067,Kepler-139 c,Kepler-139 c
8008067,Kepler-139 d,Kepler-139 d
8008067,Kepler-139 e,Kepler-139 e
8008067,Kepler-139 f,Kepler-139 f
10880507,Kepler-1390 b,Kepler-1390 b
9838468,Kepler-1391 b,Kepler-1391 b
9642292,Kepler-1392 b,Kepler-1392 b
4991208,Kepler-1393 b,Kepler-1393 b
8801316,Kepler-1394 b,Kepler-1394 b
10471515,Kepler-1395 b,Kepler-1395 b
