kepid,kepoi_name,kepler_name,ra,dec,koi_kepmag,koi_disposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_duration,koi_depth,koi_model_snr,koi_impact,koi_prad,koi_teq,koi_insol,koi_ror,koi_steff,koi_slogg,koi_srad,koi_smass,sky_coord.ra,sky_coord.dec
8628761,K04580.01,,293.37381,44.727982,13.01,CANDIDATE,0.993,0,0,0,0,6.30432354,137.29688,2.508,40.0,10.7,0.665,1.23,1510.0,1229.72,0.00614,6728.0,3.987,1.836,1.192,293.37381,44.727982
10972902,K04692.02,,290.44476,48.462891,14.766,CANDIDATE,0.675,0,0,0,0,7.6720844,134.1756,3.451,75.1,8.4,0.523,0.72,875.0,138.74,0.008203,5972.0,4.57,0.807,0.884,290.44476,48.462891
9457948,K04694.01,,288.70859,46.018188,14.851,CANDIDATE,1.0,0,0,0,0,19.2527652,144.2659,4.862,138.5,10.8,0.028,1.24,740.0,71.04,0.010815,6258.0,4.442,1.046,1.102,288.70859,46.018188
4852297,K04695.01,,296.06665,39.938011,14.806,FALSE POSITIVE,0.0,0,0,1,0,3.28931936,133.90141,1.921,166.0,11.1,1.422,50.51,1364.0,818.01,0.431441,6335.0,4.427,1.072,1.12,296.06665,39.938011
9851845,K04696.01,,299.0098,46.684738,13.881,FALSE POSITIVE,0.0,0,0,0,1,1.08195208,131.5252,4.807,33.6,12.4,0.257,0.47,1526.0,1275.68,0.005235,5233.0,4.489,0.824,0.764,299.0098,46.684738
9474483,K04697.01,,295.46341,46.01123,15.484,FALSE POSITIVE,0.0,0,1,1,1,0.512583041,131.77571,1.498,114.3,17.1,0.116,1.07,2363.0,7320.09,0.009823,6077.0,4.471,0.999,1.077,295.46341,46.01123
10663738,K04698.01,,291.12744,47.938801,14.765,CANDIDATE,0.965,0,0,0,0,8.5275894,137.2755,2.959,112.5,10.4,0.311,1.28,1049.0,286.1,0.00985,6469.0,4.385,1.193,1.26,291.12744,47.938801
5980061,K04817.01,,297.04388,41.284012,15.476,FALSE POSITIVE,0.0,1,0,1,0,0.630539713,131.99124,1.7407,239.6,27.7,1.2,21.07,1936.0,3333.18,0.215782,5458.0,4.482,0.894,0.884,297.04388,41.284012
9459162,K04818.01,,289.3483,46.05468,13.008,CANDIDATE,0.998,0,0,0,0,3.79892774,133.289,4.112,47.0,8.3,0.13,1.46,1869.0,2888.6,0.00636,6831.0,3.971,2.106,1.511,289.3483,46.05468
5024138,K04819.01,,295.27487,40.19508,14.964,FALSE POSITIVE,0.0,1,0,1,0,0.416995408,132.21942,0.8928,112.6,19.9,0.089,0.84,2433.0,8299.79,0.009886,6150.0,4.498,0.781,0.701,295.27487,40.19508
